age,gender,marital_status,monthly_income,living_expenses,current_debt,asset_value,dependents,housing_status,loan_amount,purpose,loan_term_months,repayment_method,package_id,is_on_time_payment
31,female,single,179.9,35.0,431.0,16159.0,0,rent,2331,bds,60,interest_only,10,1
60,female,single,190.4,38.3,118.0,15303.0,2,own,9814,kinh_doanh,30,installment,8,0
21,male,divorced,83.0,21.8,366.0,2900.0,2,own,7807,bds,292,interest_only,3,1
62,female,single,180.0,53.0,406.0,6389.0,3,own,2566,bds,159,interest_only,10,1
50,male,divorced,179.1,30.8,226.0,5003.0,3,own,8189,tieu_dung,30,installment,6,0
38,female,divorced,155.2,25.3,366.0,8185.0,3,stay_with_parents,2006,tieu_dung,32,installment,6,1
34,male,single,73.2,21.5,15.0,5920.0,1,rent,7203,o_to,25,installment,5,0
29,male,divorced,63.2,20.9,275.0,5387.0,1,own,3968,o_to,29,installment,4,0
31,male,married,142.9,46.4,488.0,982.0,2,own,5881,tieu_dung,19,installment,6,0
47,male,married,63.4,9.9,288.0,1261.0,1,own,2751,kinh_doanh,19,installment,9,0
44,female,divorced,171.0,43.8,227.0,6581.0,3,own,4526,bds,151,interest_only,3,1
35,female,divorced,213.2,71.1,348.0,19329.0,1,rent,9591,o_to,38,interest_only,5,0
60,female,married,118.5,37.7,482.0,11017.0,2,own,3830,kinh_doanh,54,installment,8,0
34,male,married,182.1,31.6,139.0,16357.0,1,stay_with_parents,9174,o_to,36,installment,5,0
57,female,married,88.3,24.7,304.0,7172.0,0,own,8991,bds,137,interest_only,3,0
54,female,single,43.4,7.8,111.0,2859.0,3,own,2005,tieu_dung,35,interest_only,7,0
41,male,single,167.5,36.5,685.0,9299.0,2,own,1925,tieu_dung,30,installment,6,0
31,male,single,47.9,13.1,155.0,4259.0,2,stay_with_parents,2488,tieu_dung,6,installment,7,0
68,male,single,172.5,36.9,114.0,11506.0,1,own,7019,tieu_dung,8,installment,7,0
29,female,divorced,60.2,17.9,177.0,5775.0,3,stay_with_parents,6460,kinh_doanh,47,installment,8,0
36,female,divorced,89.0,21.9,92.0,1764.0,2,rent,3955,o_to,14,installment,5,0
18,male,single,38.0,8.2,120.0,3133.0,3,own,1451,tieu_dung,39,interest_only,6,0
37,female,divorced,199.9,34.1,872.0,10169.0,1,own,2521,o_to,30,installment,4,1
57,female,divorced,182.5,41.7,506.0,9407.0,3,stay_with_parents,2232,tieu_dung,33,installment,7,1
53,male,divorced,105.2,31.4,178.0,9164.0,3,stay_with_parents,6532,bds,124,interest_only,3,1
20,female,married,23.0,5.0,114.0,1726.0,0,stay_with_parents,2395,tieu_dung,55,interest_only,6,0
44,female,divorced,217.4,41.4,852.0,2257.0,3,stay_with_parents,1183,bds,42,installment,2,1
67,female,single,191.1,34.3,394.0,11389.0,1,own,9506,tieu_dung,36,installment,6,0
31,female,single,140.7,38.5,660.0,4906.0,1,stay_with_parents,3695,o_to,59,installment,5,1
26,male,single,30.2,5.0,35.0,2873.0,3,rent,2465,tieu_dung,33,installment,7,0
52,female,single,133.3,33.7,372.0,6364.0,1,own,2094,tieu_dung,18,interest_only,7,1
54,male,single,84.1,26.0,329.0,2702.0,0,own,3169,bds,61,installment,1,0
62,male,single,114.1,32.0,147.0,9485.0,3,rent,4584,tieu_dung,36,interest_only,7,0
21,female,married,120.6,36.9,22.0,5275.0,3,rent,4180,bds,192,interest_only,1,1
35,female,single,134.4,35.2,311.0,7273.0,1,own,8758,o_to,45,installment,4,0
20,male,married,118.9,31.4,131.0,1467.0,3,rent,2111,kinh_doanh,40,interest_only,9,1
64,male,single,177.5,46.3,145.0,5127.0,0,rent,7292,tieu_dung,7,installment,7,0
63,female,married,121.6,34.4,476.0,2249.0,1,own,9891,kinh_doanh,107,installment,8,0
26,male,divorced,81.3,16.6,128.0,7061.0,0,own,5078,bds,62,installment,1,0
28,female,divorced,25.7,8.0,112.0,1168.0,3,own,2739,tieu_dung,53,installment,6,0
57,female,married,80.4,18.8,243.0,1559.0,1,own,6440,kinh_doanh,74,installment,8,0
65,female,divorced,196.5,64.5,390.0,17726.0,0,own,6194,tieu_dung,59,installment,6,0
41,female,divorced,93.6,18.5,46.0,3728.0,0,stay_with_parents,7547,tieu_dung,36,installment,6,0
34,male,divorced,82.4,15.6,398.0,1019.0,0,stay_with_parents,6198,kinh_doanh,84,interest_only,8,0
29,female,married,74.2,11.8,311.0,1001.0,1,rent,3283,o_to,12,interest_only,5,0
28,female,married,98.2,20.0,367.0,3548.0,3,own,3583,o_to,26,interest_only,5,1
45,female,divorced,123.0,32.0,31.0,7444.0,0,own,5533,o_to,38,installment,5,0
26,female,single,122.0,33.5,428.0,7475.0,1,own,6312,bds,254,installment,1,0
61,male,divorced,119.4,39.7,194.0,4542.0,3,stay_with_parents,3979,o_to,12,installment,5,0
45,female,married,85.3,22.7,30.0,8383.0,0,stay_with_parents,2653,bds,121,interest_only,10,1
53,male,married,131.3,40.0,157.0,10828.0,3,own,5903,kinh_doanh,40,interest_only,8,0
55,female,single,113.2,32.5,548.0,8233.0,1,rent,5383,o_to,59,installment,4,0
18,female,single,61.0,16.9,60.0,740.0,3,own,7379,bds,216,interest_only,1,0
67,male,single,82.3,13.9,132.0,1401.0,1,own,3618,tieu_dung,12,interest_only,7,0
46,female,married,129.7,33.8,232.0,2317.0,1,own,6787,bds,284,interest_only,3,1
21,male,married,115.1,23.0,525.0,2065.0,0,stay_with_parents,8699,o_to,21,interest_only,5,1
58,male,divorced,97.7,25.0,96.0,2720.0,2,own,1123,bds,110,interest_only,1,1
42,female,divorced,138.1,21.8,103.0,11973.0,0,rent,1758,tieu_dung,14,installment,6,0
55,male,divorced,70.1,16.9,11.0,1397.0,1,rent,5653,o_to,45,interest_only,5,0
25,female,divorced,117.1,38.2,116.0,4200.0,2,own,1878,o_to,16,installment,5,0
19,female,married,38.7,11.9,68.0,1024.0,3,rent,387,tieu_dung,17,installment,6,0
27,male,married,41.4,12.2,21.0,3134.0,0,own,2584,tieu_dung,14,installment,6,0
69,female,married,84.8,16.7,93.0,1823.0,3,rent,2889,o_to,32,interest_only,4,0
41,female,single,94.9,15.0,418.0,7745.0,2,stay_with_parents,8492,kinh_doanh,77,installment,8,0
50,male,divorced,188.3,34.4,93.0,11239.0,0,stay_with_parents,8334,kinh_doanh,77,installment,8,0
32,male,married,92.1,13.8,443.0,2150.0,3,stay_with_parents,3725,tieu_dung,11,installment,6,0
63,female,divorced,149.4,47.5,18.0,1543.0,0,own,6334,tieu_dung,58,interest_only,6,0
61,female,single,121.7,26.4,409.0,663.0,3,own,5404,o_to,32,interest_only,4,1
37,male,married,192.1,35.1,510.0,4261.0,3,own,8431,kinh_doanh,41,interest_only,8,0
37,female,married,137.8,30.3,74.0,5810.0,2,own,2362,tieu_dung,28,interest_only,6,1
45,male,single,123.5,33.8,11.0,5062.0,2,own,5068,o_to,31,interest_only,5,1
43,female,single,92.6,23.0,255.0,5813.0,0,own,8881,kinh_doanh,43,installment,8,0
35,male,married,215.0,35.8,577.0,18010.0,0,own,6423,kinh_doanh,15,interest_only,8,1
28,female,divorced,34.8,8.6,67.0,3031.0,1,own,1620,tieu_dung,25,interest_only,7,0
61,female,single,37.0,7.1,112.0,2702.0,0,own,1685,o_to,56,interest_only,4,0
39,male,single,119.2,29.5,474.0,10221.0,2,rent,3127,bds,315,installment,3,1
32,male,single,111.1,28.9,223.0,9850.0,0,own,9847,bds,97,interest_only,1,0
42,male,single,108.6,25.1,384.0,7346.0,2,own,8097,o_to,51,interest_only,5,0
26,female,single,85.1,21.4,214.0,4767.0,3,stay_with_parents,2650,o_to,73,interest_only,4,1
45,female,divorced,32.1,5.0,136.0,2871.0,3,own,1705,kinh_doanh,26,interest_only,9,1
51,female,married,152.5,48.0,397.0,12535.0,3,stay_with_parents,2739,tieu_dung,39,interest_only,6,0
53,male,married,42.9,6.8,204.0,2647.0,0,own,1241,bds,285,interest_only,3,1
65,male,divorced,93.3,30.5,8.0,2151.0,0,own,4452,o_to,47,interest_only,5,0
61,male,married,157.8,45.0,332.0,3991.0,2,own,1697,o_to,51,installment,5,1
67,female,divorced,187.3,58.9,537.0,8093.0,3,own,6760,bds,125,installment,3,0
62,male,married,161.3,34.5,601.0,13011.0,3,own,8251,o_to,24,installment,5,0
41,male,single,149.7,47.2,495.0,9874.0,0,own,4869,tieu_dung,32,installment,7,0
64,male,divorced,91.8,19.4,192.0,7203.0,3,own,4530,bds,275,interest_only,3,0
35,male,divorced,214.3,47.5,422.0,7820.0,3,rent,7100,tieu_dung,35,interest_only,7,0
19,male,married,107.9,18.9,160.0,772.0,2,own,6236,bds,269,installment,3,1
61,female,divorced,103.4,20.3,271.0,5761.0,0,own,1403,o_to,43,interest_only,5,1
53,male,married,98.7,18.8,344.0,8449.0,0,rent,3598,tieu_dung,21,interest_only,7,0
33,male,single,103.3,26.7,257.0,6676.0,0,own,7058,tieu_dung,24,interest_only,6,0
61,female,married,155.9,32.3,118.0,11083.0,1,own,8101,kinh_doanh,87,installment,8,0
66,male,divorced,45.0,7.7,11.0,3930.0,0,rent,2551,tieu_dung,57,interest_only,6,1
43,male,divorced,60.8,11.8,253.0,3510.0,2,own,4910,o_to,27,installment,4,0
34,female,married,39.7,12.8,177.0,349.0,3,own,522,o_to,67,interest_only,4,0
42,male,single,49.9,15.8,47.0,4145.0,1,own,2886,o_to,36,interest_only,4,0
60,male,married,38.8,8.6,78.0,2704.0,0,own,2285,o_to,81,installment,4,0
67,male,married,65.0,14.0,268.0,2391.0,0,own,1688,o_to,14,installment,5,0
22,male,married,43.2,7.6,180.0,2092.0,3,own,1915,bds,83,interest_only,10,1
27,male,divorced,77.8,18.9,295.0,7714.0,1,stay_with_parents,1786,tieu_dung,49,installment,6,0
24,female,married,85.7,28.2,266.0,4555.0,2,rent,8710,tieu_dung,40,interest_only,6,0
57,female,divorced,179.0,58.7,319.0,6215.0,0,own,8973,tieu_dung,51,interest_only,6,0
63,female,single,60.4,15.5,47.0,3865.0,2,own,2423,o_to,21,interest_only,4,0
19,male,divorced,52.7,15.3,249.0,5078.0,2,own,1989,bds,172,interest_only,3,0
38,male,single,106.2,21.1,263.0,4487.0,0,own,8962,tieu_dung,45,interest_only,6,0
31,female,single,152.4,38.3,717.0,9269.0,2,own,1285,bds,94,interest_only,2,1
44,male,divorced,115.9,27.7,199.0,5114.0,1,own,2638,bds,154,interest_only,2,1
66,male,married,47.1,11.5,120.0,4252.0,0,own,402,tieu_dung,36,installment,6,1
68,female,divorced,181.1,38.1,467.0,1185.0,0,stay_with_parents,2716,tieu_dung,53,interest_only,6,1
34,female,married,117.8,39.5,361.0,3412.0,3,own,4207,tieu_dung,7,interest_only,7,0
43,female,divorced,98.5,32.3,16.0,6506.0,3,rent,3410,kinh_doanh,33,installment,8,0
65,male,divorced,49.4,13.3,2.0,3979.0,1,own,2081,tieu_dung,15,interest_only,7,1
30,female,divorced,72.0,12.6,102.0,1883.0,1,own,4324,o_to,83,installment,4,0
42,male,single,150.6,43.6,574.0,1325.0,2,own,6304,kinh_doanh,94,installment,8,0
53,male,single,126.4,31.1,420.0,7726.0,1,own,7696,bds,136,installment,3,0
70,male,divorced,185.4,35.7,256.0,6028.0,2,rent,9420,bds,211,interest_only,1,1
34,male,single,194.3,30.3,554.0,6955.0,0,stay_with_parents,1133,bds,169,interest_only,10,1
23,male,divorced,36.9,11.4,158.0,2368.0,3,own,997,tieu_dung,35,installment,7,0
25,male,married,37.7,11.7,38.0,902.0,0,own,1947,o_to,64,installment,4,0
32,male,married,138.9,24.4,22.0,11155.0,3,own,7990,tieu_dung,26,interest_only,7,0
26,female,married,76.3,21.1,110.0,1750.0,2,rent,1364,bds,180,installment,1,1
42,male,single,101.0,30.4,326.0,7747.0,0,own,6974,tieu_dung,7,interest_only,7,0
30,male,divorced,53.3,17.1,23.0,790.0,3,own,1635,tieu_dung,25,installment,7,0
42,male,divorced,118.5,18.9,3.0,7210.0,1,rent,6051,kinh_doanh,117,installment,8,0
56,female,single,136.6,24.1,87.0,5300.0,1,rent,2569,bds,254,installment,1,1
22,male,married,34.5,6.4,169.0,250.0,3,own,1948,o_to,15,interest_only,4,0
31,male,divorced,99.0,26.7,264.0,1203.0,1,rent,2606,kinh_doanh,51,installment,9,0
65,male,divorced,135.9,21.8,568.0,12656.0,1,rent,5742,tieu_dung,50,interest_only,6,1
70,male,divorced,110.7,33.6,42.0,7921.0,1,own,5015,kinh_doanh,46,installment,8,0
46,female,married,38.3,8.4,92.0,3823.0,0,own,2171,kinh_doanh,113,installment,8,0
50,male,divorced,80.7,13.2,148.0,6385.0,3,rent,1719,tieu_dung,16,interest_only,7,1
65,male,divorced,45.5,11.9,59.0,1777.0,3,stay_with_parents,2347,kinh_doanh,19,installment,9,0
35,female,single,193.2,62.6,521.0,12488.0,0,stay_with_parents,5731,kinh_doanh,62,interest_only,8,1
18,male,married,114.2,34.6,329.0,2013.0,3,own,1359,o_to,49,interest_only,4,1
20,female,divorced,97.1,20.0,36.0,1914.0,0,own,4720,kinh_doanh,120,interest_only,8,1
42,female,single,115.5,27.8,174.0,2057.0,1,rent,4095,bds,134,installment,3,1
41,female,married,199.7,65.6,351.0,9283.0,3,rent,5573,kinh_doanh,79,installment,8,1
47,male,divorced,95.4,24.4,412.0,3745.0,0,own,7308,kinh_doanh,62,interest_only,8,0
70,male,married,141.8,32.6,216.0,5844.0,0,own,8939,kinh_doanh,14,interest_only,8,1
61,female,single,33.5,10.0,9.0,1766.0,3,stay_with_parents,799,bds,208,interest_only,10,1
22,female,single,26.9,5.0,131.0,2536.0,2,rent,2310,tieu_dung,14,interest_only,7,0
46,male,single,170.9,35.1,349.0,5521.0,1,own,6308,tieu_dung,6,installment,6,0
45,female,married,196.1,54.7,692.0,6078.0,3,own,2733,tieu_dung,25,interest_only,7,1
31,male,divorced,129.1,42.4,500.0,3998.0,1,own,6853,bds,269,interest_only,1,1
70,male,divorced,119.4,34.6,288.0,8106.0,0,own,3991,o_to,50,interest_only,5,1
43,male,married,80.6,26.2,92.0,4371.0,3,own,1688,tieu_dung,19,installment,7,0
47,male,divorced,182.4,46.2,544.0,2341.0,2,own,8498,tieu_dung,50,installment,6,0
45,female,divorced,105.1,27.6,122.0,5035.0,2,own,7280,tieu_dung,30,installment,7,1
67,female,single,191.3,63.0,853.0,11855.0,2,own,9172,o_to,49,installment,4,0
24,male,married,123.5,25.9,368.0,8659.0,3,rent,9733,tieu_dung,25,installment,7,1
65,female,divorced,43.6,12.3,71.0,4212.0,0,own,635,tieu_dung,8,interest_only,7,0
49,male,married,138.9,33.7,533.0,12861.0,2,own,7969,bds,337,interest_only,3,1
60,female,divorced,163.2,42.9,769.0,10698.0,0,stay_with_parents,3866,kinh_doanh,49,interest_only,8,1
42,male,divorced,126.5,29.1,586.0,6659.0,3,rent,2200,o_to,65,installment,4,1
58,female,divorced,63.5,15.6,179.0,4143.0,1,own,3798,tieu_dung,10,installment,6,0
38,female,married,63.6,16.8,152.0,4834.0,0,own,2331,kinh_doanh,45,installment,8,0
59,female,single,137.5,34.1,285.0,12224.0,2,own,9203,tieu_dung,20,interest_only,7,0
23,female,single,46.4,16.1,91.0,2348.0,2,own,1136,kinh_doanh,23,interest_only,9,0
46,female,married,65.6,16.2,119.0,4017.0,3,own,8292,o_to,28,interest_only,5,0
47,female,married,49.0,17.1,37.0,4835.0,2,own,407,tieu_dung,20,interest_only,6,1
19,female,single,107.6,36.8,331.0,2388.0,0,own,7675,bds,117,installment,1,0
44,female,divorced,89.8,18.6,243.0,5820.0,3,rent,7737,tieu_dung,26,installment,7,0
47,female,married,76.4,13.8,113.0,3647.0,2,own,9956,tieu_dung,37,installment,6,0
30,male,married,224.0,40.9,974.0,22161.0,2,own,8218,o_to,12,interest_only,5,0
50,male,married,86.5,25.5,92.0,6197.0,0,own,2004,o_to,32,interest_only,4,1
35,female,married,121.8,31.9,198.0,8891.0,3,rent,7241,tieu_dung,18,interest_only,6,0
27,female,married,87.4,27.8,215.0,7381.0,3,own,9535,tieu_dung,19,interest_only,7,0
55,male,single,122.0,41.9,39.0,1550.0,3,own,2304,o_to,40,installment,4,0
30,female,divorced,179.2,43.3,573.0,16030.0,2,own,4849,tieu_dung,26,interest_only,7,0
62,male,single,131.8,45.0,8.0,12773.0,1,own,7196,o_to,80,interest_only,4,1
51,male,married,36.9,11.3,33.0,1013.0,1,stay_with_parents,2724,kinh_doanh,21,interest_only,9,0
37,female,divorced,219.2,48.1,855.0,16227.0,0,own,1733,kinh_doanh,28,installment,9,1
67,male,divorced,64.5,13.1,62.0,3784.0,2,rent,2701,o_to,17,installment,4,0
20,female,married,31.5,5.0,117.0,625.0,3,own,2976,o_to,18,interest_only,4,0
31,male,divorced,223.2,70.2,951.0,3023.0,0,own,6466,tieu_dung,43,interest_only,6,1
34,male,divorced,66.6,12.4,133.0,535.0,3,own,5871,tieu_dung,51,interest_only,6,0
30,female,single,112.6,33.9,43.0,9767.0,2,rent,8665,kinh_doanh,32,interest_only,8,0
40,male,single,116.9,19.3,21.0,1107.0,1,own,9682,kinh_doanh,101,installment,8,0
26,female,married,56.3,9.8,89.0,1779.0,0,stay_with_parents,1253,o_to,41,interest_only,5,1
63,male,divorced,94.8,19.6,460.0,6379.0,3,own,3044,bds,133,interest_only,1,1
52,male,single,121.1,37.2,414.0,1767.0,0,own,8575,bds,302,interest_only,3,1
66,female,divorced,43.0,7.2,175.0,827.0,2,rent,2098,bds,257,installment,1,1
67,female,single,175.0,33.3,19.0,5390.0,1,own,6021,tieu_dung,11,interest_only,6,0
49,male,married,50.6,7.7,57.0,1451.0,2,own,2227,bds,306,installment,3,1
63,male,married,154.7,42.4,310.0,1820.0,0,own,6208,bds,253,installment,3,1
65,female,single,107.2,31.6,327.0,8733.0,0,own,1959,bds,130,installment,3,1
19,female,single,28.7,6.6,70.0,2594.0,0,stay_with_parents,2034,bds,199,installment,10,0
69,male,divorced,87.9,20.3,160.0,8043.0,0,rent,1614,kinh_doanh,17,interest_only,9,1
62,male,divorced,61.6,19.2,205.0,5463.0,0,own,8860,tieu_dung,10,installment,6,0
68,female,single,190.6,60.2,599.0,9582.0,2,own,9427,o_to,44,installment,4,0
59,male,married,150.9,42.9,536.0,10908.0,0,rent,5143,o_to,15,installment,4,0
29,male,divorced,37.7,11.3,150.0,2317.0,1,own,2466,kinh_doanh,48,installment,9,0
60,male,married,103.1,17.5,188.0,8455.0,1,own,7441,bds,281,installment,3,1
34,male,single,111.3,35.1,148.0,3483.0,2,stay_with_parents,6565,bds,287,installment,3,0
40,female,divorced,205.5,70.1,947.0,20384.0,2,own,1842,bds,158,installment,2,1
25,female,married,120.4,35.9,141.0,9046.0,0,own,1180,kinh_doanh,67,interest_only,8,1
28,male,single,119.9,38.7,343.0,8704.0,3,stay_with_parents,3047,tieu_dung,24,installment,6,0
38,male,divorced,57.8,11.1,283.0,3270.0,3,own,2167,bds,151,interest_only,10,0
20,female,married,30.6,5.7,83.0,2254.0,3,rent,1853,bds,96,installment,10,0
61,female,single,65.5,18.5,177.0,6535.0,0,own,3054,kinh_doanh,22,installment,8,0
41,male,married,184.8,52.1,470.0,12385.0,3,own,8847,bds,158,interest_only,1,1
21,female,married,119.0,28.4,96.0,3227.0,1,own,1841,bds,129,installment,2,1
41,male,single,199.0,68.1,740.0,4906.0,1,stay_with_parents,6038,o_to,76,installment,4,0
46,male,divorced,175.9,47.0,424.0,8877.0,1,rent,5213,kinh_doanh,66,installment,8,0
46,male,single,146.1,26.6,261.0,11514.0,2,stay_with_parents,2368,bds,276,installment,3,1
51,female,single,122.2,21.3,467.0,6896.0,2,stay_with_parents,3743,bds,219,installment,3,1
59,female,divorced,42.7,10.3,92.0,4052.0,3,own,2284,bds,123,interest_only,1,0
52,male,married,121.4,23.7,493.0,6303.0,1,own,7793,bds,227,interest_only,1,1
20,male,married,46.6,11.7,175.0,4494.0,0,rent,981,bds,84,installment,1,1
49,male,divorced,112.6,32.1,91.0,2815.0,2,stay_with_parents,9651,o_to,75,installment,4,0
46,female,married,97.5,20.6,376.0,6025.0,0,stay_with_parents,9988,tieu_dung,27,interest_only,6,1
68,male,divorced,127.2,33.1,153.0,1009.0,0,own,6056,o_to,36,installment,4,0
66,female,divorced,120.1,31.2,415.0,5522.0,1,own,4148,bds,257,installment,1,1
23,male,married,61.5,19.5,12.0,5888.0,2,own,1724,bds,274,installment,1,1
30,male,single,110.4,35.4,209.0,10008.0,2,own,8989,o_to,46,installment,4,0
36,female,divorced,196.5,46.8,485.0,15701.0,0,own,9153,tieu_dung,15,interest_only,6,0
34,female,married,88.3,30.0,419.0,1026.0,0,rent,9354,kinh_doanh,26,installment,8,0
58,female,divorced,160.9,52.1,110.0,12274.0,0,own,5698,o_to,20,interest_only,5,1
58,male,divorced,143.5,34.6,523.0,2000.0,0,rent,3389,tieu_dung,23,interest_only,6,1
38,male,divorced,107.1,33.7,435.0,3572.0,1,rent,5350,tieu_dung,14,interest_only,6,0
57,female,married,109.4,16.6,221.0,6936.0,1,own,8657,kinh_doanh,51,interest_only,8,0
42,female,single,175.4,60.4,713.0,11065.0,3,rent,5420,bds,238,interest_only,3,0
29,female,divorced,91.3,27.0,195.0,3735.0,3,own,2188,kinh_doanh,25,interest_only,8,0
59,male,single,159.1,49.4,22.0,3585.0,2,own,6353,o_to,13,installment,5,0
48,female,married,118.8,34.4,22.0,10484.0,2,stay_with_parents,5360,bds,140,interest_only,3,0
45,female,single,112.0,26.9,267.0,8449.0,1,own,6271,bds,228,installment,1,1
44,male,single,136.8,22.6,440.0,4250.0,2,own,6899,tieu_dung,34,installment,7,0
69,male,married,50.0,8.4,66.0,3176.0,0,own,2242,o_to,33,installment,4,0
63,male,divorced,133.9,25.3,262.0,9900.0,3,own,8363,o_to,20,interest_only,5,0
26,female,married,27.2,5.0,111.0,1502.0,1,rent,1613,o_to,78,interest_only,4,1
33,female,single,204.5,60.0,802.0,9368.0,3,rent,2367,kinh_doanh,35,installment,9,1
47,male,single,188.5,33.0,703.0,7999.0,3,stay_with_parents,6304,bds,207,installment,1,1
40,male,divorced,129.8,34.8,316.0,7620.0,0,own,2781,o_to,51,interest_only,4,0
20,male,married,56.8,18.0,158.0,981.0,1,own,1585,tieu_dung,9,interest_only,7,0
46,male,single,112.1,20.2,26.0,7776.0,3,rent,8335,bds,156,installment,3,0
61,male,divorced,74.8,21.9,246.0,3490.0,3,rent,5538,kinh_doanh,37,installment,8,0
68,female,single,74.7,19.4,106.0,7248.0,0,own,4073,kinh_doanh,79,installment,8,0
22,male,divorced,97.6,31.6,487.0,3001.0,2,own,3813,kinh_doanh,14,interest_only,8,1
48,female,single,198.9,42.0,793.0,4673.0,1,own,5926,kinh_doanh,112,installment,8,1
49,female,married,34.2,8.8,98.0,3128.0,0,own,1196,tieu_dung,19,installment,7,0
60,male,divorced,125.2,23.3,445.0,5688.0,0,own,5293,tieu_dung,20,interest_only,7,0
56,male,divorced,130.2,19.7,444.0,10828.0,2,rent,4451,kinh_doanh,32,installment,8,0
39,male,divorced,117.5,27.9,436.0,7401.0,0,stay_with_parents,1713,tieu_dung,6,interest_only,6,1
22,male,single,29.2,8.2,112.0,2818.0,3,stay_with_parents,986,bds,142,installment,10,1
59,female,divorced,56.0,12.7,269.0,4959.0,1,stay_with_parents,1406,o_to,57,installment,5,1
45,male,married,86.9,26.6,319.0,7086.0,2,own,2390,o_to,59,installment,4,0
42,female,single,125.0,23.4,483.0,3251.0,2,rent,4548,o_to,60,interest_only,4,1
59,male,single,196.8,42.0,117.0,4983.0,2,own,8388,o_to,46,interest_only,5,0
54,female,married,184.4,50.2,388.0,6179.0,0,own,5138,bds,132,interest_only,3,1
36,female,divorced,181.7,42.1,152.0,2145.0,2,own,2873,kinh_doanh,12,installment,9,0
53,male,divorced,148.5,51.1,208.0,7404.0,0,rent,2256,bds,156,installment,10,1
65,female,single,148.6,29.8,524.0,5542.0,1,rent,5775,kinh_doanh,102,interest_only,8,1
43,male,married,152.3,46.6,346.0,3660.0,2,stay_with_parents,9903,tieu_dung,52,interest_only,6,0
67,female,married,168.1,28.2,530.0,12558.0,1,own,9403,o_to,17,interest_only,5,1
57,male,married,42.2,8.7,176.0,1238.0,2,own,2112,o_to,60,interest_only,4,0
66,male,single,139.5,37.8,435.0,12274.0,1,own,6818,kinh_doanh,29,interest_only,8,0
69,male,married,116.2,35.9,372.0,2038.0,0,rent,8989,bds,226,interest_only,1,0
31,male,single,52.9,14.9,86.0,3823.0,2,own,2186,bds,241,installment,3,1
50,male,married,163.0,50.1,508.0,4107.0,0,stay_with_parents,1385,o_to,19,installment,5,1
42,male,divorced,153.0,48.3,443.0,5504.0,1,rent,9072,tieu_dung,27,interest_only,6,0
18,female,single,76.7,18.7,255.0,3094.0,3,rent,3032,bds,148,interest_only,3,0
41,female,divorced,138.6,21.2,138.0,2428.0,3,rent,6598,o_to,40,installment,4,0
